Entreprise,Score ESG,Score ESG - %,Environnemental,Envrionnemental - % ,Social,Social - %,Gouvernance,Gouvernance - %,Score combiné ESG*,Score combiné ESG* - %,Score Controverses ESG** ,Score Controverses ESG** - % ,Disclosure Score - Qualité Information ,Disclosure Score - Qualité Information - %,ESG x Qualité Information,ROE,ROE - %,Marge EBITDA ,Marge EBITDA - %,ROA ,ROA - %,Taille,Dette nette en Mds euros,Secteur Secondaire,Secteur Tertiaire
Accor,7,0.7,7,0.7,7,0.7,6,0.6,6,0.6,4,0.4,63,0.63,0.441,12.25,0.1225,19.98,0.1998,5.23,0.0523,16.30515596,2.5,0,1
Air Liquide,8,0.8,7,0.7,8,0.8,8,0.8,5,0.5,1,0.1,83,0.83,0.664,12.92,0.1292,29.18,0.2918,6.6,0.066,17.76420295,10.63,1,0
Airbus,7,0.7,9,0.9,8,0.8,6,0.6,5,0.5,2,0.2,68,0.68,0.476,21.4,0.214,11.85,0.1185,3.22,0.0322,18.09428556,-3.73,1,0
ArcelorMittal,7,0.7,6,0.6,7,0.7,7,0.7,7,0.7,7,0.7,35,0.35,0.245,2.6,0.026,11.3,0.113,1.46,0.0146,17.03202359,5.16,1,0
AXA,8,0.8,7,0.7,7,0.7,9,0.9,7,0.7,7,0.7,86,0.86,0.688,15.2,0.152,10.9,0.109,2.47,0.0247,20.2982539,43.46,0,1
BNP Paribas,8,0.8,8,0.8,8,0.8,8,0.8,5,0.5,1,0.1,57,0.57,0.456,9.9,0.099,64,0.64,0.44,0.0044,21.71833374,71.85,0,1
Bouygues,7,0.7,7,0.7,8,0.8,4,0.4,4,0.4,2,0.2,88,0.88,0.616,8.43,0.0843,8.35,0.0835,1.71,0.0171,17.95997773,9.18,1,1
Capgemini,6,0.6,8,0.8,8,0.8,4,0.4,6,0.6,10,1,82,0.82,0.492,15.03,0.1503,16.37,0.1637,6.64,0.0664,17.06044392,3.29,0,1
Carrefour,7,0.7,8,0.8,8,0.8,6,0.6,5,0.5,3,0.3,99,0.99,0.693,9.67,0.0967,5.43,0.0543,1.27,0.0127,17.86491005,-1.5,0,1
Compagnie de Saint-Gobin,8,0.8,9,0.9,8,0.8,8,0.8,5,0.5,2,0.2,52,0.52,0.416,11.75,0.1175,15.47,0.1547,4.78,0.0478,17.93808618,9.38,1,0
Crédit Agricole,6,0.6,9,0.9,6,0.6,5,0.5,6,0.6,8,0.8,57,0.57,0.342,9.23,0.0923,56,0.56,0.29,0.0029,21.56041898,-265.9,0,1
Danone,9,0.9,9,0.9,9,0.9,8,0.8,5,0.5,0,0,82,0.82,0.738,13.81,0.1381,17.26,0.1726,4.5,0.045,17.62864097,12.72,1,0
Dassault Système,6,0.6,8,0.8,9,0.9,3,0.3,6,0.6,10,1,66,0.66,0.396,20.18,0.2018,35.01,0.3501,7.96,0.0796,16.5593075,-0.89,0,1
Edenred,7,0.7,7,0.7,8,0.8,7,0.7,7,0.7,10,1,71,0.71,0.497,-67.37,-0.6737,44.29,0.4429,3.82,0.0382,16.40071493,2.9,0,1
ENGIE,7,0.7,7,0.7,8,0.8,6,0.6,7,0.7,10,1,88,0.88,0.616,12.89,0.1289,18.31,0.1831,2.87,0.0287,19.06013175,35.08,1,1
EssilorLuxottica,6,0.6,6,0.6,8,0.8,5,0.5,6,0.6,10,1,97,0.97,0.582,6.24,0.0624,20.98,0.2098,3.49,0.0349,17.97851016,10.96,1,0
Eurofins Scientific,7,0.7,6,0.6,7,0.7,7,0.7,7,0.7,10,1,44,0.44,0.308,7.71,0.0771,19.66,0.1966,5.15,0.0515,16.20320856,3,0,1
Hermès,5,0.5,7,0.7,6,0.6,3,0.3,4,0.4,3,0.3,64,0.64,0.32,28.47,0.2847,43.23,0.4323,17.89,0.1789,16.95465029,-9.47,1,1
Kering,7,0.7,9,0.9,9,0.9,5,0.5,5,0.5,3,0.3,92,0.92,0.644,7.73,0.0773,20.47,0.2047,3.77,0.0377,17.58472498,15.92,1,1
Legrand,8,0.8,9,0.9,8,0.8,8,0.8,8,0.8,8,0.8,90,0.9,0.72,16.37,0.1637,21.86,0.2186,6.62,0.0662,16.59277583,3.01,1,0
L'Oréal,8,0.8,7,0.7,9,0.9,8,0.8,6,0.6,3,0.3,98,0.98,0.784,20.63,0.2063,22.17,0.2217,10.02,0.1002,17.84715313,4.44,1,0
LVMH,8,0.8,9,0.9,9,0.9,5,0.5,4,0.4,1,0.1,95,0.95,0.76,19.64,0.1964,26.49,0.2649,8.36,0.0836,18.82073122,31.57,1,1
Michelin,8,0.8,7,0.7,9,0.9,8,0.8,6,0.6,5,0.5,91,0.91,0.728,10.33,0.1033,18.14,0.1814,5.34,0.0534,17.43589702,3.63,1,0
Orange,7,0.7,7,0.7,8,0.8,4,0.4,5,0.5,4,0.4,90,0.9,0.63,7.67,0.0767,32.18,0.3218,3.67,0.0367,18.45868918,-1.4,0,1
Pernod Ricard,6,0.6,6,0.6,5,0.5,7,0.7,4,0.4,2,0.2,83,0.83,0.498,10.5,0.105,30.39,0.3039,4.4,0.044,17.4285883,10.76,1,0
Publicis Groupe,7,0.7,7,0.7,8,0.8,6,0.6,6,0.6,5,0.5,59,0.59,0.413,17.51,0.1751,19.4,0.194,4.78,0.0478,17.50073333,1.53,0,1
Renault,8,0.8,9,0.9,7,0.7,6,0.6,5,0.5,2,0.2,50,0.5,0.4,-46.54,-0.4654,12.16,0.1216,-9.5,-0.095,18.67815615,48.71,1,0
Safran,7,0.7,6,0.6,7,0.7,7,0.7,6,0.6,5,0.5,47,0.47,0.329,35.36,0.3536,20.83,0.2083,8.12,0.0812,17.8230619,-1.46,1,0
Sanofi,8,0.8,8,0.8,9,0.9,7,0.7,5,0.5,1,0.1,100,1,0.8,7.25,0.0725,31.31,0.3131,4.24,0.0424,18.70433973,10.46,1,0
Schneider Electric,8,0.8,8,0.8,9,0.9,8,0.8,8,0.8,7,0.7,85,0.85,0.68,15.76,0.1576,21.27,0.2127,7.26,0.0726,18.00430129,7.94,1,0
Société Générale,8,0.8,9,0.9,7,0.7,8,0.8,6,0.6,5,0.5,70,0.7,0.56,7.13,0.0713,63,0.63,0.42,0.0042,21.17659687,-90.03,0,1
Stellantis,8,0.8,9,0.9,8,0.8,6,0.6,4,0.4,0,0,50,0.5,0.4,-3.09,-0.0309,5.54,0.0554,-1.17,-0.0117,19.15115743,3.13,1,0
STMicroelectronics,9,0.9,9,0.9,9,0.9,8,0.8,7,0.7,6,0.6,78,0.78,0.702,4.96,0.0496,24.97,0.2497,3.5,0.035,17.02405318,3.1,1,0
Teleperformance,7,0.7,6,0.6,8,0.8,6,0.6,6,0.6,5,0.5,64,0.64,0.448,11.73,0.1173,18.41,0.1841,3.96,0.0396,16.30656494,3.85,0,1
Thales,6,0.6,7,0.7,8,0.8,2,0.2,4,0.4,3,0.3,63,0.63,0.378,14.51,0.1451,14.58,0.1458,2.54,0.0254,17.50413498,3.06,1,0
TotalEnergies,8,0.8,8,0.8,8,0.8,6,0.6,4,0.4,0,0,86,0.86,0.688,11.9,0.119,20.07,0.2007,5.02,0.0502,19.46970705,27.2,1,1
Unibail-Rodamco-Westfield,9,0.9,8,0.8,9,0.9,8,0.8,9,0.9,10,1,68,0.68,0.612,4,0.04,59.24,0.5924,1.94,0.0194,17.79604419,22.17,0,1
Veolia,7,0.7,7,0.7,7,0.7,6,0.6,4,0.4,1,0.1,88,0.88,0.616,9.52,0.0952,7.25,0.0725,2.13,0.0213,18.1054082,10.36,0,1
Vinci,8,0.8,9,0.9,7,0.7,8,0.8,8,0.8,10,1,74,0.74,0.592,16.65,0.1665,17.52,0.1752,4.01,0.0401,18.67912194,21.06,1,1
Vivendi,7,0.7,7,0.7,8,0.8,6,0.6,6,0.6,5,0.5,61,0.61,0.427,-3.9,-0.039,-6.9,-0.069,-1.49,-0.0149,15.88603748,2.65,0,1
